City Claim #,Date Of Accident,Claim Status,Last Close Date,Dept/division,Category,Cause,NOC Demand,Paid Bi,Paid Pd
15-0797-001,3/4/2016,F,3/25/2016,Street- Southeast Maint Dist,Light Truck,Lane Change/Pass,309.01,0.00,309.01
15-0798-001,3/21/2016,F,4/19/2016,Street- Southwest Maint Dist,Operations,Pot Hole,"1,640.00",0.00,492.00
15-0799-001,1/13/2016,F,4/27/2016,Pub Wks- Solid Waste Field Services Sout,Refuse/Garbage,Struck Fixed Object,100.00,0.00,350.00
15-0800-001,1/12/2016,F,7/7/2016,WSD- Wtr Customer Svcs/Meter Shop,Operations,Water Service Related,"2,320.00",0.00,0.00
15-0801-001,2/22/2016,F,4/20/2016,Street- Traffic Ops/Invest/Sign-Stripe,Operations,"Maint. of St., Sidewalks, Rights-of-way","1,222.53",0.00,0.00
15-0802-001,3/18/2016,F,7/25/2016,Fire- Admin/EMS/CAD-Alarm/Safety,EMS/Ambulance,Struck Fixed Object,"3,000.00",0.00,212.17
15-0803-001,3/18/2016,F,5/19/2016,Pub Wks- Solid Waste Field Services Nort,Refuse/Garbage,Struck Fixed Object,"5,368.40",0.00,"5,001.49"
15-0804-001,3/2/2016,F,7/7/2016,Water Distrib - Morten Yard,Operations,Water Main Break,"7,629.00",0.00,"6,390.00"
15-0805-001,1/26/2016,F,5/19/2016,Police - Northern Precinct 200,Police Vehicle,Backing,650.65,0.00,862.43
15-0807-001,3/22/2016,F,5/5/2016,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Struck Fixed Object,,0.00,"3,369.14"
15-0808-001,3/15/2016,F,6/14/2016,Street- Central Maintenance Dist,Operations,"Maint. of St., Sidewalks, Rights-of-way","15,000.00",0.00,0.00
15-0809-001,11/24/2015,F,8/24/2016,Fire Battalion 8,Fire Apparatus,U-Turn,"10,358.59","7,000.00","3,190.19"
15-0810-001,3/14/2016,F,4/6/2016,WSD- Wastewater Collection -  Blue Stake/Sewer Backups,Operations,Sewer Backup,175.00,0.00,0.00
15-0811-001,8/30/2015,F,7/28/2016,Police- S. Mountain Precinct 400,Law Enforcement,False Arrest,"15,000,000.00",0.00,0.00
15-0812-001,3/24/2016,F,4/12/2016,Street- Southeast Maint Dist,Operations,Pot Hole,410.00,0.00,0.00
15-0812-002,3/24/2016,F,4/25/2016,Pub Wks- Solid Waste Field Services East,Operations,Pot Hole,150.00,0.00,0.00
15-0812-003,3/24/2016,F,5/12/2016,Street- Southeast Maint Dist,Operations,Pot Hole,"2,315.00",0.00,0.00
15-0813-001,3/8/2016,F,4/7/2016,Street- Southwest Maint Dist,Operations,Pot Hole,176.96,0.00,88.48
15-0814-001,3/9/2016,F,5/19/2016,Water Distrib - Corona Yard,Operations,Blue Stake Error,"4,500.00",0.00,"2,000.00"
15-0815-001,3/24/2016,F,5/18/2017,WSD- Wastewater Collection -  Blue Stake/Sewer Backups,Operations,Damage by Mobile Equipment,,0.00,0.00
15-0816-001,2/26/2016,F,6/8/2016,Water Production / Water Treatmt Plants,Employment,Employment Discrimination,,"12,500.00",0.00
15-0817-001,10/31/2015,F,5/16/2016,Fire Battalion 3,Operations,Damage to Property/Injury to Persons,"221,780.82",0.00,0.00
15-0818-001,3/13/2016,F,5/5/2016,Street- Southwest Maint Dist,Operations,Pot Hole,750.00,0.00,415.00
15-0819-001,10/4/2015,F,1/18/2018,Police- Squaw Peak Precinct 700,Law Enforcement,Excessive Force,"500,000.00",0.00,0.00
15-0820-001,11/16/2015,F,3/14/2018,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Failure to Yield,"4,110.00","22,100.00","2,842.29"
15-0821-001,3/19/2016,F,5/17/2016,Parks- Northeast Division,Premises,Maint. Building/Premises,256.38,0.00,256.38
15-0822-001,12/23/2015,F,4/27/2016,Police-Inv/VCB-FIB-Drug Enf-OCB-Prop Cri,Police Vehicle,Rear End,"1,471.73",0.00,"1,407.10"
15-0823-001,10/7/2015,F,6/14/2016,Street- Central Maintenance Dist,Operations,"Maint. of St., Sidewalks, Rights-of-way","450,000.00",0.00,0.00
15-0824-001,12/7/2015,F,12/14/2016,Aviation- Sky Harbor Airport/Terminals,Law Enforcement,Dog Bite,"10,000.00",0.00,0.00
15-0825-001,10/16/2015,R,5/23/2016,Police- Desert Horizon Precinct 600,Law Enforcement,False Arrest,"1,350,000.00",0.00,0.00
15-0826-001,3/9/2016,F,4/21/2016,Pub Wks- Solid Waste Field Services Nort,Refuse/Garbage,Struck Fixed Object,"2,128.00",0.00,325.00
15-0827-001,4/1/2016,F,4/27/2016,Aviation- Sky Harbor Airport/Terminals,Premises,Maint. Building/Premises,"1,232.28",0.00,0.00
15-0828-001,3/27/2016,F,5/9/2016,Police- Squaw Peak Precinct 700,Police Vehicle,Backing,"9,230.00",0.00,"1,930.39"
15-0829-001,11/28/2015,F,4/6/2016,Transit- Phoenix Transit-Contract,Bus 21-75,Fall Inside Vehicle,"50,000.00",0.00,0.00
15-0830-001,1/19/2016,F,6/30/2016,Police- Squaw Peak Precinct 700,Police Vehicle,Turning,"14,996.79",0.00,"6,391.90"
15-0832-001,11/23/2015,F,10/18/2016,Street- Southwest Maint Dist,Medium/Heavy,Struck Fixed Object,"150,000.00","25,000.00",0.00
15-0832-002,11/23/2015,F,8/5/2016,Street- Southwest Maint Dist,Medium/Heavy,Struck Fixed Object,"7,799.62",0.00,"5,852.53"
15-0833-001,12/24/2015,F,5/19/2016,Street- Central Maintenance Dist,Operations,"Maint. of St., Sidewalks, Rights-of-way","3,210.12",0.00,0.00
15-0834-001,2/3/2016,F,4/13/2016,Fire- Admin/EMS/CAD-Alarm/Safety,EMS/Ambulance,Lane Change/Pass,102.37,0.00,102.37
15-0835-001,3/18/2016,F,6/2/2016,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Struck Fixed Object,"2,985.00",0.00,"2,604.00"
15-0836-001,3/12/2016,F,4/21/2016,Water Distrib - Reservoir Yard,Operations,Excavation Related,282.80,0.00,282.80
15-0837-001,11/3/2015,F,4/7/2016,Transit- Phoenix Transit-Contract,Bus 21-75,Turning,,0.00,0.00
15-0838-001,11/30/2015,F,5/9/2016,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,"8,657.10",0.00,0.00
15-0839-001,12/15/2015,F,10/14/2016,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Struck Fixed Object,"1,000.00",0.00,"6,794.16"
15-0840-001,4/1/2016,F,4/19/2016,Street- Southeast Maint Dist,Operations,Pot Hole,"1,283.90",0.00,0.00
15-0841-001,1/29/2016,F,5/9/2016,Police- Squaw Peak Precinct 700,Law Enforcement,Damage to Property,51.00,0.00,0.00
15-0842-001,10/8/2015,O,,Police- S. Mountain Precinct 400,Police Vehicle,Shooting,"1,500,000.00","550,000.00",0.00
15-0843-001,4/6/2016,F,8/8/2016,WSD- Wastewater Collection -  Blue Stake/Sewer Backups,Operations,Sewer Backup,,0.00,"10,377.92"
15-0843-002,4/6/2016,F,5/18/2017,WSD- Wastewater Collection -  Blue Stake/Sewer Backups,Operations,Sewer Backup,,0.00,0.00
15-0844-001,11/29/2015,F,3/14/2018,Police-Inv/VCB-FIB-Drug Enf-OCB-Prop Cri,Police Vehicle,Failure to Yield,"70,000.00","25,000.00",0.00
15-0844-002,11/29/2015,F,3/14/2018,Police-Inv/VCB-FIB-Drug Enf-OCB-Prop Cri,Police Vehicle,Failure to Yield,"70,000.00","15,000.00",0.00
15-0844-003,11/29/2015,F,12/30/2016,Police-Inv/VCB-FIB-Drug Enf-OCB-Prop Cri,Police Vehicle,Failure to Yield,"50,000.00","9,250.00",0.00
15-0844-004,11/29/2015,F,12/30/2016,Police-Inv/VCB-FIB-Drug Enf-OCB-Prop Cri,Police Vehicle,Failure to Yield,"100,000.00","15,000.00",0.00
15-0845-001,3/7/2016,F,4/21/2016,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,700.00,0.00,700.00
15-0846-001,3/29/2016,F,4/26/2016,Street- North Maint Dist,Operations,Pot Hole,175.00,0.00,0.00
15-0847-001,3/16/2016,F,8/5/2016,Street- Traffic Ops/Invest/Sign-Stripe,Light Truck,Falling Load/Rock,215.00,0.00,214.00
15-0848-001,2/8/2016,F,4/27/2016,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,"1,692.50",0.00,"1,400.00"
15-0849-001,10/27/2015,F,10/31/2019,Parks- South Division,Operations,Overhanging Tree,"1,500,000.00","11,500.00",0.00
15-0850-001,3/19/2016,F,5/10/2016,Water Distrib - Corona Yard,Operations,Missing/Hit Cover,500.00,0.00,500.00
15-0851-001,10/20/2015,F,5/2/2016,Police- Squaw Peak Precinct 700,Police Vehicle,Struck Fixed Object,"3,291.77",0.00,"3,291.77"
15-0852-001,3/10/2016,F,5/11/2016,Pub Wks- Solid Waste Special Operations,Refuse/Garbage,Backing,"3,000.00",0.00,"2,774.58"
15-0853-001,3/11/2016,F,5/6/2016,Aviation- Sky Harbor Airport/Terminals,Premises,Maint. Building/Premises,"3,570.56",0.00,0.00
15-0854-001,9/8/2015,F,4/12/2016,WSD- Wtr Customer Svcs/Meter Shop,Medium/Heavy,Rear End,"2,651.67",0.00,0.00
15-0855-001,1/20/2016,F,7/12/2016,Water Distrib - Reservoir Yard,Operations,Sewer Backup,"23,454.50",0.00,0.00
15-0856-001,4/9/2016,F,10/24/2016,Water Distrib - Corona Yard,Operations,Water Main Break,500.00,0.00,300.00
15-0856-002,4/9/2016,F,10/24/2016,Water Distrib - Corona Yard,Operations,Water Main Break,,0.00,0.00
15-0856-003,4/9/2016,F,10/24/2016,Water Distrib - Corona Yard,Operations,Water Main Break,300.00,0.00,"10,268.72"
15-0856-004,4/9/2016,F,11/15/2016,Water Distrib - Corona Yard,Operations,Water Main Break,,0.00,"13,381.56"
15-0857-001,4/1/2016,F,4/20/2016,Street- Southeast Maint Dist,Operations,Debris/Object in Road,"1,595.03",0.00,0.00
15-0858-001,12/21/2015,F,5/18/2017,Pub Wks- Solid Waste Field Services West,Operations,Damage by Mobile Equipment,"2,000.00",0.00,0.00
15-0859-001,4/1/2016,F,4/19/2016,Street- Southeast Maint Dist,Operations,Debris/Object in Road,876.79,0.00,0.00
15-0860-001,2/3/2016,F,4/20/2016,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,"1,727.24",0.00,"1,727.24"
15-0861-001,10/15/2015,F,4/13/2016,Non-City Claim,Non-City,Non-City Claim,"5,000,000.00",0.00,0.00
15-0862-001,4/1/2016,F,5/6/2016,Street- Southwest Maint Dist,Operations,Pot Hole,511.75,0.00,311.75
15-0863-001,3/10/2016,F,7/25/2016,Police- S. Mountain Precinct 400,Police Vehicle,Emergency Maneuver,"4,244.69",0.00,"3,780.46"
15-0863-002,3/10/2016,F,7/6/2016,Police- S. Mountain Precinct 400,Police Vehicle,Failure to Yield,"4,485.48",0.00,"4,485.48"
15-0864-001,3/28/2016,F,4/14/2016,Housing-Admin/Occupancy/Mgt Services,Contract Dispute,Business/Development/Financial Contract,"69,569.95",0.00,0.00
15-0865-001,3/22/2016,F,5/19/2016,Police- Cactus Park Precinct 900,Police Vehicle,Rear End,"2,558.54",0.00,"2,296.01"
15-0866-001,10/19/2015,F,4/15/2016,Transit- Phoenix Transit-Contract,Bus 21-75,Collide with Pedestrian,"50,000.00",0.00,0.00
15-0867-001,4/4/2016,F,7/27/2016,Police- Central City Precinct 500,Police Vehicle,Failure to Yield,"6,758.00",0.00,475.00
15-0867-002,4/4/2016,F,7/15/2016,Police- Central City Precinct 500,Police Vehicle,Failure to Yield,"8,685.12",0.00,"2,885.12"
15-0867-003,4/4/2016,F,5/23/2017,Police- Central City Precinct 500,Police Vehicle,Failure to Yield,"16,554.47","4,250.00",0.00
15-0868-001,11/9/2015,F,4/29/2016,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Failure to Yield,"2,314.84",0.00,0.00
15-0869-001,3/18/2016,F,4/21/2016,Street- Southwest Maint Dist,Operations,Pot Hole,"1,373.49",0.00,0.00
15-0870-001,4/6/2016,F,4/18/2016,Transit- Phoenix Transit-Contract,Bus 21-75,Fall Inside Vehicle,"100,000.00",0.00,0.00
15-0871-001,3/18/2016,F,5/24/2016,Water Distrib - Reservoir Yard,Operations,Water Main Break,405.00,0.00,155.00
15-0872-001,4/2/2016,F,5/10/2016,Street- North Maint Dist,Operations,"Maint. of St., Sidewalks, Rights-of-way",382.95,0.00,333.45
15-0873-001,3/4/2016,F,5/10/2016,Convention Center/Symphony Hall/Theaters,Premises,Maint. Building/Premises,"5,014.00",0.00,0.00
15-0874-001,4/10/2016,F,7/25/2016,Water Distrib - Corona Yard,Operations,Water Main Break,"3,744.44",0.00,79.95
15-0875-001,11/23/2015,F,12/14/2016,Police- Maryvale Precinct 800,Police Vehicle,Rear End,"32,467.70","7,413.47",788.10
15-0876-001,1/13/2016,R,4/21/2016,Street-Planning-Design & Prog-Street Lit,Operations,Negligent Design,"15,000,000.00",0.00,0.00
15-0876-002,1/13/2016,F,4/21/2016,Street-Planning-Design & Prog-Street Lit,Operations,Negligent Design,0.00,0.00,0.00
15-0876-003,1/13/2016,F,4/21/2016,Street-Planning-Design & Prog-Street Lit,Operations,Negligent Design,0.00,0.00,0.00
15-0877-001,3/18/2016,F,7/25/2016,Parks- South Division,Operations,Damage to Property/Injury to Persons,940.00,0.00,0.00
15-0878-001,3/8/2016,F,5/6/2016,Police-Inv/VCB-FIB-Drug Enf-OCB-Prop Cri,Law Enforcement,Auto Theft Related,738.00,0.00,0.00
15-0879-001,3/21/2016,F,5/3/2016,Aviation- Sky Harbor Airport/Terminals,Premises,Maint. Building/Premises,877.50,0.00,0.00
15-0880-001,4/1/2016,F,5/6/2016,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Struck Fixed Object,300.00,0.00,300.00
15-0881-001,3/30/2016,F,10/11/2016,Street- Southwest Maint Dist,Operations,Pot Hole,"2,076.17",0.00,0.00
15-0882-001,3/29/2016,F,6/28/2017,Non-City Claim,Non-City,Non-City Claim,"250,400.00",0.00,0.00
15-0883-001,2/7/2016,F,7/25/2016,Convention Center/Symphony Hall/Theaters,Premises,Maint. Building/Premises,"20,000.00",0.00,0.00
15-0884-001,4/11/2016,F,1/9/2017,WSD- Wtr Customer Svcs/Meter Shop,Operations,Water Service Related,"8,800.00",0.00,0.00
15-0885-001,4/13/2016,F,5/6/2016,Pub Wks- Solid Waste Field Services West,Operations,Damage by Mobile Equipment,300.00,0.00,0.00
15-0886-001,3/24/2016,F,4/21/2016,Street- Southeast Maint Dist,Operations,"Maint. of St., Sidewalks, Rights-of-way",373.75,0.00,0.00
15-0887-001,2/24/2016,F,5/4/2016,Water Distrib - Reservoir Yard,Operations,Water Main Break,73.28,0.00,73.28
15-0888-001,3/30/2016,F,5/20/2016,Police - Estrella Mountain Precinct 300,Law Enforcement,Shooting,"1,500.00",0.00,0.00
15-0888-002,3/30/2016,F,9/26/2016,Police - Estrella Mountain Precinct 300,Law Enforcement,Shooting,"25,000,000.00",0.00,0.00
15-0888-003,3/30/2016,F,5/17/2017,Police - Estrella Mountain Precinct 300,Law Enforcement,Shooting,"25,000,000.00",0.00,0.00
15-0889-001,11/30/2015,F,5/6/2016,Aviation- Sky Harbor Airport/Terminals,Premises,Maint. Building/Premises,"2,852.45",0.00,0.00
15-0890-001,10/26/2015,F,6/14/2016,Street- North Maint Dist,Operations,"Maint. of St., Sidewalks, Rights-of-way","58,500.00",0.00,0.00
15-0891-001,12/28/2015,F,5/11/2016,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Struck Fixed Object,260.00,0.00,260.00
15-0892-001,4/11/2016,F,5/17/2016,Street- Southwest Maint Dist,Operations,Pot Hole,804.19,0.00,0.00
15-0893-001,4/14/2016,F,5/10/2016,Street- Prev Maint/St Cleaning/Flooding,Medium/Heavy,Falling Load/Rock,"2,007.64",0.00,0.00
15-0894-001,4/1/2016,F,5/11/2016,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Struck Fixed Object,"1,900.00",0.00,"1,700.00"
15-0895-001,4/18/2016,F,5/17/2016,Aviation- Sky Harbor Airport/Terminals,Premises,Maint. Building/Premises,"2,548.93",0.00,0.00
15-0896-001,3/17/2016,F,6/7/2016,Street- Southwest Maint Dist,Operations,Tar/Paint/Oil,160.00,0.00,0.00
15-0898-001,3/16/2016,F,5/11/2016,Pub Wks- Solid Waste Field Services West,Operations,Damage by Mobile Equipment,100.00,0.00,0.00
15-0899-001,3/24/2016,F,4/27/2016,Street- Southwest Maint Dist,Operations,Pot Hole,650.00,0.00,0.00
15-0899-002,3/24/2016,F,8/11/2016,Street- Southwest Maint Dist,Operations,Pot Hole,117.13,0.00,0.00
15-0900-001,3/24/2016,F,5/2/2016,Pub Wks- Solid Waste Field Services Nort,Refuse/Garbage,Struck Fixed Object,760.00,0.00,625.00
15-0901-001,4/22/2016,F,8/25/2016,Street- Southwest Maint Dist,Operations,Pot Hole,483.00,0.00,705.86
15-0903-001,1/16/2016,F,6/17/2016,Fire Battalion 1,Fire/EMS Operations,Forced Entry,450.00,0.00,197.50
15-0904-001,4/13/2016,F,12/15/2016,Police- Central City Precinct 500,Police Vehicle,Rear End,"6,144.51",0.00,"9,096.75"
15-0905-001,4/13/2016,F,4/28/2016,Water Distrib - Reservoir Yard,Operations,"Care, Custody, Control",,0.00,0.00
15-0906-001,4/18/2016,F,5/13/2016,Street- Southwest Maint Dist,Operations,"Maint. of St., Sidewalks, Rights-of-way",900.00,0.00,0.00
15-0908-001,12/5/2015,F,7/8/2016,Housing-Senior Hous/Scattered Sites/Sec,Premises,Maint. Building/Premises,"10,000.00",0.00,0.00
15-0909-001,4/25/2016,F,5/3/2016,Unknown Dept/Temporary Use Only,Operations,Debris/Object in Road,"5,574.48",0.00,0.00
15-0910-001,4/14/2016,F,6/9/2016,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,"2,605.23",0.00,"2,605.23"
15-0911-001,3/31/2016,F,5/6/2016,Pub Wks- Solid Waste Field Services Nort,Operations,Damage by Mobile Equipment,50.00,0.00,50.00
15-0912-001,11/23/2015,F,5/16/2016,Police- S. Mountain Precinct 400,Operations,"Care, Custody, Control",650.00,0.00,0.00
15-0913-001,4/28/2016,F,9/28/2016,Pub Wks- Solid Waste Field Services Nort,Refuse/Garbage,Struck Fixed Object,,0.00,"2,887.45"
15-0914-001,11/3/2015,F,6/1/2016,Street- Southwest Maint Dist,Operations,Negligent Design,"1,400,000.00",0.00,0.00
15-0914-002,11/3/2015,F,5/5/2016,Street- Southwest Maint Dist,Operations,Negligent Design,"1,400,000.00",0.00,0.00
15-0915-001,10/19/2015,F,5/5/2016,ITD- Admin/Telecommunications,Contract Dispute,Business/Development/Financial Contract,"375,000.00",0.00,0.00
15-0916-001,11/4/2015,F,5/3/2016,Transit- Phoenix Transit-Contract,Bus 21-75,Fall Inside Vehicle,"50,000.00",0.00,0.00
15-0917-001,11/23/2015,F,5/3/2016,Transit- MV Trans-Contract/Dial-Ride/ALE,Van 0-9 Passenger,Failure to Yield,"31,095.69",0.00,0.00
15-0918-001,4/28/2016,F,8/9/2016,Library- Admin,Premises,Maint. Building/Premises,"4,600.00",0.00,0.00
15-0919-001,2/26/2016,F,5/10/2016,Fire Battalion 2,Fire/EMS Operations,Fire Misc,150.00,0.00,0.00
15-0921-001,4/21/2016,F,5/18/2016,Street- Southeast Maint Dist,Operations,Negligent Design,122.54,0.00,0.00
15-0922-001,3/26/2016,F,5/4/2016,WSD- Wtr Customer Svcs/Meter Shop,Operations,Water Service Related,127.00,0.00,0.00
15-0923-001,4/14/2016,F,6/30/2016,Water Engineering & Construction Mgt,Operations,Pot Hole,"1,021.52",0.00,408.61
15-0924-001,4/27/2016,F,6/20/2016,Water Distrib - Corona Yard,Operations,Water Main Break,"1,054.00",0.00,"2,477.10"
15-0925-001,4/25/2016,F,5/19/2016,Street- Southwest Maint Dist,Operations,Tar/Paint/Oil,149.99,0.00,0.00
15-0927-001,1/21/2016,F,12/27/2016,Police- Desert Horizon Precinct 600,Police Vehicle,Rear End,"27,500.00","1,100.00",0.00
15-0927-002,1/21/2016,F,12/27/2016,Police- Desert Horizon Precinct 600,Police Vehicle,Rear End,"25,000.00","1,100.00",0.00
15-0928-001,12/24/2015,F,6/28/2017,Aviation- Sky Harbor Airport/Terminals,Premises,Maint. Building/Premises,"190,000.00",0.00,0.00
15-0929-001,11/13/2015,F,2/9/2017,Police- S. Mountain Precinct 400,Police Vehicle,Collide with Pedestrian,"300,000.00","25,000.00",0.00
15-0930-001,10/9/2015,F,6/8/2016,Street- Southeast Maint Dist,Light Truck,Struck Fixed Object,"1,000.00",0.00,"1,261.49"
15-0931-001,4/2/2016,F,5/19/2016,Police- Maryvale Precinct 800,Police Vehicle,Failure to Yield,"7,017.16",0.00,0.00
15-0932-001,5/4/2016,F,8/8/2016,Water Distrib - Cave Creek Yard,Operations,Water Main Break,,0.00,"7,047.83"
15-0933-001,4/30/2016,F,7/25/2016,Street- Southeast Maint Dist,Operations,Debris/Object in Road,"3,725.89",0.00,0.00
15-0934-001,3/23/2016,F,5/6/2016,Planning Director's Office - Admin,Public Officials,Public Officials Liability,"24,500.00",0.00,0.00
15-0935-001,4/22/2016,F,5/12/2016,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Struck Fixed Object,375.00,0.00,375.00
15-0936-001,4/23/2016,F,7/7/2016,Pub Wks-Sol Waste Disposl/Landfl/Transfe,Operations,Damage by Mobile Equipment,"3,700.00",0.00,"2,700.00"
15-0937-001,3/15/2016,F,5/17/2017,Street- Southwest Maint Dist,Operations,"Maint. of St., Sidewalks, Rights-of-way","13,050.00",0.00,0.00
15-0938-001,4/19/2016,F,6/17/2016,Pub Wks- Solid Waste Field Services Nort,Refuse/Garbage,Backing,"1,854.91",0.00,662.86
15-0938-002,4/19/2016,F,9/19/2016,Pub Wks- Solid Waste Field Services Nort,Refuse/Garbage,Backing,"1,962.66",0.00,"1,849.44"
15-0939-001,1/13/2016,F,5/11/2016,WSD- Wastewater Collection -  Blue Stake/Sewer Backups,Operations,Damage by Mobile Equipment,950.00,0.00,950.00
15-0940-001,3/14/2016,F,5/25/2016,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,"1,367.00",0.00,"1,367.00"
15-0941-001,2/14/2016,F,5/26/2016,Police- Squaw Peak Precinct 700,Law Enforcement,Excessive Force,"5,000.00",0.00,0.00
15-0942-001,11/14/2015,F,5/12/2016,Transit- Phoenix Transit-Contract,Bus 21-75,Fall Inside Vehicle,"250,000.00",0.00,0.00
15-0943-001,5/10/2016,F,6/8/2017,Water Distrib - Morten Yard,Operations,Water Main Break,"19,000.00",0.00,"1,500.00"
15-0944-001,5/9/2016,F,6/2/2016,Street- Central Maintenance Dist,Operations,Pot Hole,705.09,0.00,352.55
15-0945-001,5/3/2016,F,5/18/2016,Street- Central Maintenance Dist,Operations,Construction Area,706.79,0.00,0.00
15-0946-001,5/12/2016,F,5/19/2016,Street- Southeast Maint Dist,Operations,Tar/Paint/Oil,848.00,0.00,0.00
15-0947-001,5/3/2016,F,9/8/2016,Police - Estrella Mountain Precinct 300,Police Vehicle,Failure to Yield,"1,600.00",0.00,"2,283.36"
15-0948-001,11/23/2015,F,6/13/2018,Aviation- Sky Harbor Airport/Terminals,Premises,Maint. of Equipment,"750,973.62",0.00,0.00
15-0950-001,4/1/2016,F,5/23/2016,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Struck Fixed Object,650.00,0.00,650.00
15-0951-001,3/9/2016,F,5/24/2016,Parks- Northwest Division,Light Truck,Rear End,"6,779.01",0.00,"6,779.01"
15-0951-002,3/9/2016,F,9/1/2016,Parks- Northwest Division,Light Truck,Rear End,"11,631.81","10,581.05",0.00
15-0952-001,4/28/2016,F,5/18/2016,Water Distrib - Reservoir Yard,Light Truck,Turning,455.76,0.00,455.76
15-0953-001,4/19/2016,F,5/24/2016,Police- S. Mountain Precinct 400,Law Enforcement,Forced Entry,650.00,0.00,0.00
15-0954-001,5/16/2016,F,2/22/2017,Water Distrib - Morten Yard,Operations,Water Main Break,,0.00,0.00
15-0954-002,5/16/2016,F,2/22/2017,Water Distrib - Morten Yard,Operations,Water Main Break,,0.00,"7,903.39"
15-0954-003,5/16/2016,F,2/7/2017,Water Distrib - Morten Yard,Operations,Water Main Break,,0.00,"20,878.26"
15-0955-001,11/22/2015,F,5/19/2016,Police- Central City Precinct 500,Law Enforcement,Failure/Negligent Investigation,,0.00,0.00
15-0955-002,11/22/2015,F,3/27/2019,Police- Central City Precinct 500,Law Enforcement,Failure/Negligent Investigation,"3,000,000.00","50,000.00",0.00
15-0955-003,11/22/2015,F,5/19/2016,Police- Central City Precinct 500,Law Enforcement,Failure/Negligent Investigation,,0.00,0.00
15-0955-004,11/22/2015,F,5/19/2016,Police- Central City Precinct 500,Law Enforcement,Failure/Negligent Investigation,,0.00,0.00
15-0955-005,11/22/2015,F,5/19/2016,Police- Central City Precinct 500,Law Enforcement,Failure/Negligent Investigation,,0.00,0.00
15-0956-001,5/16/2016,F,5/18/2016,Street- Southwest Maint Dist,Operations,"Maint. of St., Sidewalks, Rights-of-way",225.00,0.00,0.00
15-0957-001,12/7/2015,F,5/18/2016,Street- Southwest Maint Dist,Operations,Excavation Related,206.78,0.00,0.00
15-0958-001,5/17/2016,F,10/6/2016,Pub Wks- Solid Waste Field Services Sout,Refuse/Garbage,Struck Fixed Object,,0.00,0.00
15-0959-001,11/21/2015,F,10/21/2016,Fire Battalion 1,Fire/EMS Operations,Damage to Property/Injury to Persons,"5,620.75",283.75,"1,298.21"
15-0960-001,3/23/2016,F,5/25/2016,Street- Central Maintenance Dist,Operations,Tar/Paint/Oil,355.64,0.00,0.00
15-0961-001,5/10/2016,F,5/24/2016,Street- Design and Construction Mgt,Light Truck,Rear End,,0.00,0.00
15-0962-001,5/18/2016,F,6/15/2017,Pub Wks- Solid Waste Field Services Nort,Operations,Damage by Mobile Equipment,"1,000.00",0.00,"1,055.77"
15-0963-001,1/5/2016,F,7/15/2016,Pub Wks- Solid Waste Field Services West,Operations,Damage by Mobile Equipment,"1,010.00",0.00,875.00
15-0964-001,4/18/2016,F,7/6/2016,Housing-Convntl Housing/Modernizatn Prog,Premises,Maint. Building/Premises,"2,285.00",0.00,"2,285.00"
15-0965-001,4/6/2016,F,7/14/2016,Street- Southwest Maint Dist,Light Truck,Rear End,"6,425.75",0.00,"7,638.15"
15-0965-002,4/6/2016,F,6/19/2017,Street- Southwest Maint Dist,Light Truck,Rear End,"20,895.00","10,300.00",0.00
15-0966-001,12/9/2015,F,3/14/2017,Transit-First Transit-West Facility,Bus 21-75,Failure to Yield,"95,000.00",0.00,0.00
15-0967-001,3/9/2016,F,5/25/2016,Water Distrib - Cave Creek Yard,Operations,Change Meter,250.00,0.00,250.00
15-0968-001,5/12/2016,F,6/2/2016,Water Distrib - Cave Creek Yard,Light Truck,Lane Change/Pass,"1,705.87",0.00,0.00
15-0968-002,5/12/2016,F,8/23/2016,Water Distrib - Cave Creek Yard,Light Truck,Lane Change/Pass,"1,637.08",0.00,0.00
15-0969-001,1/12/2016,F,8/1/2016,Street- Design and Construction Mgt,Light Truck,Rear End,"175,000.00","25,000.00",0.00
15-0971-001,5/4/2016,F,7/26/2016,Water Distrib - Cave Creek Yard,Operations,Water Service Related,590.70,0.00,590.70
15-0972-001,5/10/2016,F,5/24/2016,WSD- Wtr Customer Svcs/Meter Shop,Operations,Water Service Related,"100,000.00",0.00,0.00
15-0973-001,3/3/2016,F,6/8/2016,Water Distrib - Corona Yard,Operations,Excavation Related,"2,690.31",0.00,0.00
